name	genres	# Spotify followers	# RYM followers	mean RYM rating	current location	RYM url	Spotify url
Sleeping In	Ambient, Drone, Dark Ambient, Trap, Industrial Hip Hop, Instrumental Hip Hop	17	78	3.2		https://rateyourmusic.com/artist/sleeping-in-1	https://open.spotify.com/artist/1ANivtWXDG7UG002CrwocW
Slimosine	IDM	143	7	2.33	Gulf Breeze, FL, United States	https://rateyourmusic.com/artist/slimosine	https://open.spotify.com/artist/4A1y8FwnHCK7lVHgnZB1mo
smntha	Indie Rock	None	2	3.73	Boston, MA, United States	https://rateyourmusic.com/artist/smntha	None
SNMT		4	1	2.5		https://rateyourmusic.com/artist/snmt	https://open.spotify.com/artist/5RycM2QOh1EtGE1Nfy8Ik8
Snowing	Midwest Emo, Slacker Rock	30587	4451	3.55		https://rateyourmusic.com/artist/snowing	https://open.spotify.com/artist/7swQ7gmKDlIOsnl0bdnaXn
Solace in the Shadows		None	2	2.5		https://rateyourmusic.com/artist/solace_in_the_shadows	None
Solid ࿂ Air	Experimental	None	4	1.61		https://rateyourmusic.com/artist/solid-࿂-air	None
Somasis	Ambient, Breakcore, Downtempo, Ambient Pop	229	101	3.55	Boone, NC, United States	https://rateyourmusic.com/artist/somasis	https://open.spotify.com/artist/3EVQDkPxiIrwRmZnBuvQcg
sonhos tomam conta	Shoegaze, Emo, Dream Pop, Blackgaze, Screamo, Slowcore	11136	6975	3.47	São Paulo, São Paulo, Brazil	https://rateyourmusic.com/artist/sonhos-tomam-conta	https://open.spotify.com/artist/7rVsNgf4xbMJcVPNilWTnV
Sonja	Heavy Metal	4392	347	3.55		https://rateyourmusic.com/artist/sonja-6	https://open.spotify.com/artist/0X41IVISCoYgYWT2PsfqoC
Sonja Sajzor		48	2	3.4	Beograd, Beograd, Serbia	https://rateyourmusic.com/artist/sonja-sajzor	https://open.spotify.com/artist/3Xt0xsPwkPU4f9a6UnsOq7
Sophiaaaahjkl;8901	IDM, Plunderphonics, Glitch, Footwork, Breakcore, Glitch Hop	9049	240	3.46	San Francisco, CA, United States	https://rateyourmusic.com/artist/sophiaaaahjkl_8901	https://open.spotify.com/artist/7otvnD5KZH9KfeMk62VqSj
SOPHIE	Bubblegum Bass, Deconstructed Club, UK Bass, Wonky, Trap [EDM], Techno	445500	24033	3.78		https://rateyourmusic.com/artist/sophie-1	https://open.spotify.com/artist/5a2w2tgpLwv26BYJf2qYwu
Sophii	Progressive Metal, Sludge Metal, Deathcore	None	18	2.95		https://rateyourmusic.com/artist/sophii	None
Sopor Aeternus & The Ensemble of Shadows	Neoclassical Darkwave, Darkwave, Neo-Medieval Folk, Gothic Rock, Neofolk, Dark Ambient	110519	1268	3.47		https://rateyourmusic.com/artist/sopor_aeternus_and_the_ensemble_of_shadows	https://open.spotify.com/artist/4DJ9mOfSKt9vg0Zhlwf6te
Soreeyes	Black Metal	64	3	3.61		https://rateyourmusic.com/artist/soreeyes	https://open.spotify.com/artist/06Bq6BztZFwqBLcKx7RCcM
Space Cadet	Indie Rock, Neo-Psychedelia, Psychedelic Pop, Experimental Rock, Post-Rock, Slacker Rock	335	148	3.24	Surrey, United Kingdom	https://rateyourmusic.com/artist/space-cadet	https://open.spotify.com/artist/6M7yoUEv8GIahe6U63RUNC
St. Donovan	Electronic Dance Music	None	12	3.58		https://rateyourmusic.com/artist/st-donovan	None
starbends	Ambient	8	2	0.0		https://rateyourmusic.com/artist/starbends	https://open.spotify.com/artist/6SiKAef5YjZiQwuyDp5VeQ
Starhed	Indie Folk	49	21	3.75	Canton, MI, United States	https://rateyourmusic.com/artist/starhed	https://open.spotify.com/artist/2WrOFDAwrhj4pzqbIY9HK5
Starmaxx	Art Pop	2394	6	3.04	Los Angeles, CA, United States	https://rateyourmusic.com/artist/starmaxx-1	https://open.spotify.com/artist/1ks5okJd9Z0hnv7fqhTzrC
Status Ferret	Singer-Songwriter	87	1	0.0	Fredonia, NY, United States	https://rateyourmusic.com/artist/status-ferret	https://open.spotify.com/artist/2yfm2deI6oO589c81KAD85
Steam Powered Giraffe	Indie Folk, Cabaret, Vaudeville, Indie Pop, Novelty	140753	199	2.74		https://rateyourmusic.com/artist/steam-powered-giraffe	https://open.spotify.com/artist/1yqs45BSh7457Flyhmdv7f
Steph&lt;3	Folk Punk, Anti-Folk, Indietronica	None	46	3.06		https://rateyourmusic.com/artist/steph3	None
STOMACH BOOK	Noise Pop, Emo, Experimental Rock, Indietronica, Post-Hardcore, Sasscore	13468	1655	3.71	South Bend, IN, United States	https://rateyourmusic.com/artist/stomach-book	https://open.spotify.com/artist/079cEjjSpv5dOLH5xsGdvN
Strap On Brigade	Queercore, Grindcore	None	10	3.13		https://rateyourmusic.com/artist/strap_on_brigade	None
Strawberry Hospital	Electronicore, Blackgaze, Electropop	10927	1768	3.48	Niederwald, TX, United States	https://rateyourmusic.com/artist/strawberry-hospital	https://open.spotify.com/artist/4e51kjdzES9uXXncU9VNgC
Subterranean	Electronic Dance Music	None	3	3.3	Pittsburgh, PA, United States	https://rateyourmusic.com/artist/subterranean-1	None
SuperKnova	Indie Rock, Electropop	16438	39	3.18	New York, NY, United States	https://rateyourmusic.com/artist/superknova	https://open.spotify.com/artist/7om8BpNIYHtacdW2rDVHuD
Susurrate	Art Rock, Shoegaze, Art Pop, Experimental Hip Hop	144	37	2.94		https://rateyourmusic.com/artist/susurrate	https://open.spotify.com/artist/512CSPRFk2Q0IU4WvA6iVb
Sylvia Baudelaire	Experimental Hip Hop, Trap	5339	19	3.07	Białystok, podlaskie, Poland	https://rateyourmusic.com/artist/sylvia-baudelaire	https://open.spotify.com/artist/2aAx96PFuLYY2cpRXE5buF
Sylvir	Electronic Dance Music, Brostep, Drum and Bass, UK Bass	None	442	3.31	York, North Yorkshire, United Kingdom	https://rateyourmusic.com/artist/sylvir	None
T. Thomason	Singer-Songwriter	3052	3	2.3	Toronto, ON, Canada	https://rateyourmusic.com/artist/t-thomason	https://open.spotify.com/artist/4qW3B9lAaefCiA5m5fUAZg
Tamara Valmar	Pop	None	1	0.0	Melbourne, VIC, Australia	https://rateyourmusic.com/artist/tamara-valmar	None
Tami T	Electropop	13667	301	3.39	Berlin, Berlin, Germany	https://rateyourmusic.com/artist/tami-t	https://open.spotify.com/artist/1rlC0qRy1Ndg2uAoFoFlyJ
Tara Delong	Hip Hop	None	4	3.92	Ciudad de México, Ciudad de México, Mexico	https://rateyourmusic.com/artist/tara-delong	None
Taylor Mulitz		None	0	0.0	Baltimore, MD, United States	https://rateyourmusic.com/artist/taylor-mulitz	None
tchan	Ghettotech	5	32	3.25	Chicago, IL, United States	https://rateyourmusic.com/artist/tchan	https://open.spotify.com/artist/5ZY0FAiER4ffwvos9x3bhP
Temp Sound Solutions & Alex Mauer		None	7	3.41		https://rateyourmusic.com/artist/temp_sound_solutions_and_alex_mauer	None
Thammy Miranda	Pop	None	0	0.91		https://rateyourmusic.com/artist/thammy-miranda	None
Thanas	Digicore	3045	10	3.68	Grenoble, Auvergne-Rhône-Alpes, France	https://rateyourmusic.com/artist/thanas	https://open.spotify.com/artist/2PJ7hY7IJP5OGAE7JoqAVJ
The Bedroom Witch	Synthpop, Darkwave	499	29	3.37	Los Angeles, CA, United States	https://rateyourmusic.com/artist/the-bedroom-witch	https://open.spotify.com/artist/1dXb3jYkcgOB4KBbHHM17J
The Candidates	Hip Hop	6	4	3.24		https://rateyourmusic.com/artist/the-candidates	https://open.spotify.com/artist/2mnoeoZ89l4ShwXDgEnhtl
The Civil War in France	Screamo, Bedroom Pop, Midwest Emo	2995	211	3.26	Baltimore, MD, United States	https://rateyourmusic.com/artist/the-civil-war-in-france 	https://open.spotify.com/artist/4i7uuldEcP9pFhfyiZYy85
The Cliks	Pop Rock, Pop Punk	6593	40	2.79		https://rateyourmusic.com/artist/the-cliks	https://open.spotify.com/artist/6a0bu1Ny5ju60p348R5jwc
The Football Club	Folk Punk	None	10	3.05		https://rateyourmusic.com/artist/the-football-club	None
The Hallowed Catharsis	Technical Death Metal	2198	17	2.86		https://rateyourmusic.com/artist/the-hallowed-catharsis	https://open.spotify.com/artist/412L6R430LcXu1H96ByzLo
The HIRS Collective	Grindcore, Queercore, Powerviolence	14843	2338	3.49		https://rateyourmusic.com/artist/the-hirs-collective	https://open.spotify.com/artist/1NV2n4DkUNfCCuaaxsWJnl
The Homobiles	Queercore	241	0	0.0	San Francisco, CA, United States	https://rateyourmusic.com/artist/the-homobiles	https://open.spotify.com/artist/10VBrwmT40NIascfqzSKzb
The Hotelier	Emo, Midwest Emo, Pop Punk, Indie Rock, Emo-Pop	86456	6373	3.64	Worcester, MA, United States	https://rateyourmusic.com/artist/the-hotelier	https://open.spotify.com/artist/3kzNckjE5FzHQhe4pJiLKa
The Oozes	Queercore, Alternative Rock	131459	59	3.03	United Kingdom	https://rateyourmusic.com/artist/the-oozes	https://open.spotify.com/artist/48VgYEfRllDfyLl4BEMVSF
The Spook School	Indie Pop, Power Pop, Indie Rock, Queercore	12421	161	3.19		https://rateyourmusic.com/artist/the-spook-school	https://open.spotify.com/artist/1K9hZ7uYbiVLEYhV4SFrOA
The Truants	Post-Punk	None	2	0.0		https://rateyourmusic.com/artist/the-truants	None
The Various Endeavors?	Synth Punk	None	3	1.7	Central City, KY, United States	https://rateyourmusic.com/artist/the-various-endeavors	None
The Athens Boys Choir	Spoken Word	None	8	3.28		https://rateyourmusic.com/artist/the_athens_boys_choir	None
The Bloods		565	49	3.46		https://rateyourmusic.com/artist/the_bloods	https://open.spotify.com/artist/10v4oZLNVmcXAC5C1N6WiB
The Electric Chairs	Punk Rock, Glam Punk, Post-Punk	1195	318	3.4		https://rateyourmusic.com/artist/the_electric_chairs	https://open.spotify.com/artist/5NVXUAeZ3VRFDKqlaLeQ4A
The Grave	Doom Metal, Traditional Doom Metal	None	26	3.66		https://rateyourmusic.com/artist/the_grave	None
Them Are Us Too	Dream Pop, Ethereal Wave, Darkwave	18003	829	3.56		https://rateyourmusic.com/artist/them-are-us-too	https://open.spotify.com/artist/5momCJTdVuC4H9xHhYkaiK
Thotcrime	Cybergrind, Sasscore, Mathcore, Metalcore	3239	402	3.39		https://rateyourmusic.com/artist/thotcrime	https://open.spotify.com/artist/1VUYbwXCTxDT7U9KCNTEnE
Three Colors in Line	Hyperpop	9	1	0.0	Portland, OR, United States	https://rateyourmusic.com/artist/three-colors-in-line	https://open.spotify.com/artist/4lH61plHFuygsK4CgRqCf5
Through Waves		160	1	3.62	Curitiba, Paraná, Brazil	https://rateyourmusic.com/artist/through_waves	https://open.spotify.com/artist/6xBv3d76MN0bPoTffgppPt
Thus Love	Post-Punk Revival, Shoegaze	8887	109	3.42		https://rateyourmusic.com/artist/thus-love	https://open.spotify.com/artist/26hW7zYB4V3PGMPBKoBdgl
Tica Douglas	Singer-Songwriter, Indie Pop	902	25	3.25	Brooklyn, NY, United States	https://rateyourmusic.com/artist/tica_douglas	https://open.spotify.com/artist/0I1zfCLOJPf4ZxpA7FH94h
Titica	Kuduro, Kizomba	15251	40	3.08		https://rateyourmusic.com/artist/titica	https://open.spotify.com/artist/2uOdrNlbkp8umXVeHU5F2s
To Languish	Screamo	263	19	3.05		https://rateyourmusic.com/artist/to-languish	https://open.spotify.com/artist/5scpr5bf9e2noyVmaFdC0E
Told Slant	Slowcore, Midwest Emo, Indie Folk, Singer-Songwriter, Slacker Rock	25830	464	3.24		https://rateyourmusic.com/artist/told-slant	https://open.spotify.com/artist/2LvmjTEfcfDrTWtwUKvdq3
Tonya Song		19	1	0.0	Gallup, NM, United States	https://rateyourmusic.com/artist/tonya-song	https://open.spotify.com/artist/19U7usHZt0kz38M1LKQaMM
Too Attached	Pop	724	5	2.38		https://rateyourmusic.com/artist/too-attached-1	https://open.spotify.com/artist/6tpCnZYpvujd9t6pVUbsI0
Towards the Forest	Experimental	None	1	3.44	Toronto, ON, Canada	https://rateyourmusic.com/artist/towards-the-forest	None
trans zimmer	Experimental	130	7	2.94	Philadelphia, PA, United States	https://rateyourmusic.com/artist/trans-zimmer	https://open.spotify.com/artist/43M0LFeIZ1bC8mO0P1vcyn
Tribe 8	Queercore, Riot Grrrl, Punk Rock	10735	117	3.37		https://rateyourmusic.com/artist/tribe-8	https://open.spotify.com/artist/36XvuDzOGosIiNn9WC6snn
Tricky Pixie	Folk Rock	None	5	2.5	Seattle, WA, United States	https://rateyourmusic.com/artist/tricky-pixie	None
TRNSGNDR/VHS	Industrial, Vaporwave	None	38	3.18	Baltimore, MD, United States	https://rateyourmusic.com/artist/trnsgndr_vhs	None
TRON MAXIMUM		None	7	3.68	Olympia, WA, United States	https://rateyourmusic.com/artist/tron_maximum	None
TRUCK	Noise Rock	None	6	3.02	Portland, OR, United States	https://rateyourmusic.com/artist/truck-3	None
Trust Fund Ozu	Hyperpop, Bubblegum Bass	2297	91	3.03	Asbury Park, NJ, United States	https://rateyourmusic.com/artist/trust-fund-ozu	https://open.spotify.com/artist/452FtOxoxIjhubfIx4Jxci
twikipedia	Digicore, Trap, Pop Rap, Emo Rap, Experimental Hip Hop, Plugg	37089	1121	3.55	Rio de Janeiro, Brazil	https://rateyourmusic.com/artist/twikipedia	https://open.spotify.com/artist/2V8aJ7qCArKAmHAX7u81Sj
Twinkle Park	Power Pop, Noise Pop, Indie Rock, Emo, Emo-Pop, Indie Pop, Indie Rock	7134	745	3.52	WA, United States	https://rateyourmusic.com/artist/twinkle-park	https://open.spotify.com/artist/33bNEm7Z4Un8RAhd3Obd7N
